empresa,rubro,direccion,ciudad,provincia,telefono,website,google_maps_url,rating,reviews_count,price_level,horarios,instagram,email,whatsapp,score_ia,observaciones,fuente,fecha_extraccion
"Ju'i (santería, Regalaría, Aromaterapia, Herboristeria)",Tienda Holística / Sahumerios,"Jujuy 945, P3600LBM P3600LBM, Formosa, Argentina",P3600LBM,Formosa,,,https://maps.google.com/?cid=14038937712190234886,,,,,@juisanteraregalaraar,,,1,,Google Places API,2026-05-29
Vibra aromaterapia,Tienda Holística / Sahumerios,"Azopardo 562, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=996062544040058101,,,,,@vibraaromaterapia,,,1,,Google Places API,2026-05-29
Parfumerie. by Cortassa Formosa,Tienda Holística / Sahumerios,"España 112, P3600HIG Formosa, Argentina",Formosa,Formosa,0370 456-4009,,https://maps.google.com/?cid=4660653660370649187,4.4,49,,"lunes: 8:30–12:30, 17:00–21:00; martes: 8:30–12:30, 17:00–21:00; miércoles: 8:30–12:30, 17:00–21:00; jueves: 8:30–12:30, 17:00–21:00; viernes: 8:30–12:30, 17:00–21:00; sábado: 9:00–13:00, 17:00–21:00; domingo: Cerrado",@parfumeriebycortassa,,03704564009,6,,Google Places API,2026-05-29
Almacén saludable - Dietética,Tienda Holística / Sahumerios,"Corrientes 299, P3600 GKC, Formosa, Argentina",GKC,Formosa,0370 438-4959,https://instagram.com/almacensaludablefsa?utm_medium=copy_link,https://maps.google.com/?cid=5014700840851209486,4.8,15,,"lunes: 8:00–12:30, 16:30–20:30; martes: 8:00–12:30, 16:30–20:30; miércoles: 8:00–12:30, 16:30–21:00; jueves: 8:00–12:30, 16:00–20:30; viernes: 8:00–12:30, 16:30–21:00; sábado: 8:30–12:30, 16:00–21:00; domingo: Cerrado",@almacnsaludablediett,,03704384959,7,,Google Places API,2026-05-29
El Taller de Titina,Tienda Holística / Sahumerios,"Maipú 389, P3600 Formosa, Argentina",Formosa,Formosa,0370 442-2853,https://m.facebook.com/eltallerdetitina/,https://maps.google.com/?cid=2383976940732656003,4.5,1236,,"lunes: 8:30–12:30, 17:00–21:00; martes: 8:30–12:30, 17:00–21:00; miércoles: 8:30–12:30, 17:00–21:00; jueves: 8:30–12:30, 17:00–21:00; viernes: 8:30–12:30, 17:00–21:00; sábado: 9:00–13:00; domingo: Cerrado",@eltallerdetitina,,03704422853,8,,Google Places API,2026-05-29
María Ana - Creaciones Insumos,Tienda Holística / Sahumerios,"Luis Fontana 1099, P3600 Formosa, Argentina",Formosa,Formosa,0370 476-7826,,https://maps.google.com/?cid=13661369649979411809,4.7,201,,"lunes: 8:30–12:00, 16:30–20:30; martes: 8:30–12:00, 16:30–20:30; miércoles: 8:30–12:00, 16:30–20:30; jueves: 8:30–12:00, 16:30–20:30; viernes: 8:30–12:00, 16:30–20:30; sábado: 8:30–12:30, 17:00–20:00; domingo: Cerrado",@maraanacreacionesins,,03704767826,6,,Google Places API,2026-05-29
PUNTO DE FUSIÓN,Tienda Holística / Sahumerios,"Luis Viale 99, C1414ECA Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4856-1344,https://m.facebook.com/media/set/?set=a.148268585308233.30726.147923942009364&type=3,https://maps.google.com/?cid=13290567485399230391,4.5,322,,lunes: 10:00–19:00; martes: 10:00–19:00; miércoles: 10:00–19:00; jueves: 10:00–19:00; viernes: 10:00–19:00; sábado: 10:00–14:00; domingo: Cerrado,@puntodefusin,,01148561344,8,,Google Places API,2026-05-29
Catalona Velas y Aromas,Tienda Holística / Sahumerios,"Av. San Martín 755, P3610AMH Clorinda, Formosa, Argentina",Clorinda,Formosa,03718 15-56-7590,,https://maps.google.com/?cid=6325478408993050282,,,,"lunes: 9:30–12:30, 17:00–21:00; martes: 9:30–12:30, 17:00–21:00; miércoles: 9:30–12:30, 17:00–21:00; jueves: 9:30–12:30, 17:00–21:00; viernes: 9:30–12:30, 17:00–21:00; sábado: 9:30–12:30, 17:00–21:00; domingo: Cerrado",@catalonavelasyaromas,,0371815567590,3,,Google Places API,2026-05-29
Lewoski Shop,Tienda Holística / Sahumerios,"Güemes 459, M5519 Guaymallén, Mendoza, Argentina",Guaymallén,Mendoza,0261 300-5703,https://www.facebook.com/profile.php?id=100078288983693&mibextid=ZbWKwL,https://maps.google.com/?cid=6695363855461534103,4.8,70,,"lunes: 9:30–13:00, 16:30–20:00; martes: 9:30–13:00, 16:30–20:00; miércoles: 9:30–13:00, 16:30–20:00; jueves: 9:30–13:00, 16:30–20:00; viernes: 9:30–13:00, 16:30–20:00; sábado: 10:00–18:00; domingo: Cerrado",@lewoskishop,,02613005703,8,,Google Places API,2026-05-29
Aromas,Tienda Holística / Sahumerios,"Av. González Lelong 1354, P3600DHD Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=12703100181299479795,5,1,,"lunes: 7:00–12:00, 17:00–20:00; martes: 7:00–12:00, 17:00–20:00; miércoles: 7:00–12:00, 17:00–20:00; jueves: 7:00–12:00, 17:00–20:00; viernes: 7:00–12:00, 17:00–20:00; sábado: 7:00–12:00, 17:00–20:00; domingo: Cerrado",@aromas,,,3,,Google Places API,2026-05-29
Piedra Libre,Tienda Holística / Sahumerios,"Maipú 5200, P3600 Formosa, Argentina",Formosa,Formosa,0370 500-1763,,https://maps.google.com/?cid=14171520582153022757,,,,lunes: 16:30–20:00; martes: 16:30–20:00; miércoles: 16:30–20:00; jueves: 16:30–20:00; viernes: 16:30–20:00; sábado: 8:00–24:00; domingo: Cerrado,@piedralibre,,03705001763,3,,Google Places API,2026-05-29
Vidrieria,Tienda Holística / Sahumerios,"C. Saavedra 4670, P3600 Formosa, Argentina",Formosa,Formosa,0370 479-3838,,https://maps.google.com/?cid=16311163496830451330,4.5,4,,lunes: 8:00–20:00; martes: 8:00–20:00; miércoles: 8:00–20:00; jueves: 8:00–20:00; viernes: 8:00–20:00; sábado: Cerrado; domingo: Cerrado,@vidrieria,,03704793838,5,,Google Places API,2026-05-29
Verdemente Herboristería,Tienda Holística / Sahumerios,"Saavedra 242, P3600 Formosa, Argentina",Formosa,Formosa,0370 459-7951,http://www.instagram.com/almacenverdemente,https://maps.google.com/?cid=12568208290709928979,4.4,7,,"lunes: 8:00–12:30, 17:00–20:30; martes: 8:00–12:30, 17:00–20:30; miércoles: 8:00–12:30, 17:00–20:30; jueves: 8:00–12:30, 17:00–20:30; viernes: 8:00–12:30, 17:00–20:30; sábado: 9:00–12:30; domingo: Cerrado",@verdementeherboriste,,03704597951,7,,Google Places API,2026-05-29
El Almacen Natural (Dietetica),Tienda Holística / Sahumerios,"Eva Peron 627 Moreno 733, Av. González Lelong 1601, P3600OCX Formosa, Argentina",Formosa,Formosa,0370 497-7698,https://menu.fu.do/elalmacennatural,https://maps.google.com/?cid=14668940959216134503,4.7,147,,"lunes: 8:30–12:30, 16:30–20:30; martes: 8:30–12:30, 16:30–20:30; miércoles: 8:30–12:30, 16:30–20:30; jueves: 8:30–12:30, 16:30–20:30; viernes: 8:30–12:30, 16:30–20:30; sábado: 8:30–12:30, 17:00–21:00; domingo: Cerrado",@elalmacennaturaldiet,,03704977698,8,,Google Places API,2026-05-29
La Tienda Natural. Formosa,Tienda Holística / Sahumerios,"DKO, Av. González Lelong 1601, P3600 P3600DKO, Formosa, Argentina",P3600DKO,Formosa,,http://www.instagram.com/el.almacen.natural.fsa,https://maps.google.com/?cid=8256609360188542807,4.5,88,,"lunes: 8:00–12:00, 17:00–21:00; martes: 8:00–12:00, 17:00–21:00; miércoles: 8:00–12:00, 17:00–21:00; jueves: 8:00–12:00, 17:00–21:00; viernes: 8:00–12:00, 17:00–21:00; sábado: 8:30–12:30, 17:00–21:00; domingo: Cerrado",@latiendanaturalformo,,,6,,Google Places API,2026-05-29
Yuyos mate & tereré,Tienda Holística / Sahumerios,"Maipú 117, P3600MOA Formosa, Argentina",Formosa,Formosa,0370 479-1048,,https://maps.google.com/?cid=2076371110758873089,4.5,10,,"lunes: 7:00–13:00, 17:00–21:00; martes: 7:00–13:00, 17:00–21:00; miércoles: 7:00–13:00, 17:00–21:00; jueves: 7:00–13:00, 17:00–21:00; viernes: 7:00–13:00, 16:00–21:00; sábado: 7:00–13:30, 16:00–21:30; domingo: Cerrado",@yuyosmateterer,,03704791048,5,,Google Places API,2026-05-29
ALMACEN SALUDABLE,Tienda Holística / Sahumerios,"Av. 25 de Mayo 1500, P3600 Formosa, Argentina",Formosa,Formosa,0370 458-8191,,https://maps.google.com/?cid=4080159789529227504,4.3,8,,"lunes: 8:30–12:30, 16:30–21:00; martes: 8:30–12:30, 16:30–21:00; miércoles: 8:30–12:30, 16:30–21:00; jueves: 8:30–12:30, 16:30–21:00; viernes: 8:30–12:30, 16:30–21:00; sábado: 9:00–13:00, 16:30–21:00; domingo: Cerrado",@almacensaludable,,03704588191,5,,Google Places API,2026-05-29
Natural Market,Tienda Holística / Sahumerios,"P3600 Formosa, Argentina",Formosa,Formosa,0370 461-1608,https://instagram.com/natural.market_?utm_medium=copy_link,https://maps.google.com/?cid=13106315899950785964,2.3,3,,,@naturalmarket,,03704611608,5,,Google Places API,2026-05-29
CONDIFOR,Tienda Holística / Sahumerios,"Av. Dr. Laureano Maradona 1175, P3600 Formosa, Argentina",Formosa,Formosa,0370 481-5692,,https://maps.google.com/?cid=4412064409612668377,,,,"lunes: 8:30–12:00, 16:00–20:00; martes: 8:30–12:00, 16:00–20:00; miércoles: 8:30–12:00, 16:00–20:00; jueves: 8:30–12:00, 16:00–20:00; viernes: 8:30–12:00, 16:00–20:00; sábado: Cerrado; domingo: Cerrado",@condifor,,03704815692,3,,Google Places API,2026-05-29
Farmacia Orión,Tienda Holística / Sahumerios,"Brandsen 665 P3600EXK, P3600EXK Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=684847919995301918,4,3,,,@farmaciaorin,,,3,,Google Places API,2026-05-29
Yerba Nuestra,Tienda Holística / Sahumerios,"José María Uriburu 2178, P3600 Formosa, Argentina",Formosa,Formosa,0370 479-8139,https://www.yerbanuestra.com.ar/,https://maps.google.com/?cid=13022726274358153475,5,1,,lunes: 8:00–21:00; martes: 8:00–21:00; miércoles: 8:00–21:00; jueves: 8:00–21:00; viernes: 8:00–21:00; sábado: 8:00–13:00; domingo: Cerrado,@yerbanuestra,,03704798139,7,,Google Places API,2026-05-29
Almendra,Tienda Holística / Sahumerios,"Juan José Silva 695, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=1099506640440053902,5,4,,"lunes: 9:00–0:30; martes: 9:00–12:30, 17:00–20:30; miércoles: 9:00–12:30, 17:00–20:30; jueves: 9:00–12:30, 17:00–20:30; viernes: 9:00–12:30, 17:00–20:30; sábado: Cerrado; domingo: Cerrado",@almendra,,,3,,Google Places API,2026-05-29
"Herboristería ""Onatha""",Tienda Holística / Sahumerios,"RRXV+2W, P3600 Formosa, Argentina",Formosa,Formosa,0370 495-8789,https://www.instagram.com/onathafsa?igsh=MTcwbW9rb3ZhaHhtZw==,https://maps.google.com/?cid=6879719525218140761,,,,"lunes: 9:00–13:00, 16:30–21:00; martes: 9:00–13:00, 16:30–21:00; miércoles: 9:00–13:00, 16:30–21:00; jueves: 9:00–13:00, 16:30–21:00; viernes: 9:00–13:00, 16:30–21:00; sábado: 9:00–8:30; domingo: 9:00–8:30",@herboristeraonatha,,03704958789,5,,Google Places API,2026-05-29
Bienestar -Almacén natural-,Tienda Holística / Sahumerios,"Ayacucho Este 67, P3600 Formosa, Argentina",Formosa,Formosa,011 6586-1200,,https://maps.google.com/?cid=2740661020814506107,,,,lunes: 8:00–13:15; martes: 8:00–13:15; miércoles: 8:00–13:15; jueves: 8:00–13:15; viernes: 8:00–13:15; sábado: 17:00–21:00; domingo: Cerrado,@bienestaralmacnnatur,,01165861200,3,,Google Places API,2026-05-29
Condimentos/herboristería Don Rubén,Tienda Holística / Sahumerios,"C. 263 74, P3600 Formosa, Argentina",Formosa,Formosa,0370 505-9772,,https://maps.google.com/?cid=9229236850156827809,,,,lunes: 7:00–24:00; martes: 7:00–24:00; miércoles: 7:00–24:00; jueves: 7:00–24:00; viernes: 7:00–24:00; sábado: 7:00–24:00; domingo: Cerrado,@condimentosherborist,,03705059772,3,,Google Places API,2026-05-29
Supermercado Cáceres 9,Tienda Holística / Sahumerios,"Av. Dr. Nestor Kirchner 3600, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=5594283914417303675,3.7,1335,,"lunes: 8:00–13:30, 17:00–21:30; martes: 8:00–13:30, 17:00–21:30; miércoles: 8:00–13:30, 17:00–21:30; jueves: 8:00–13:30, 17:00–21:30; viernes: 8:00–13:30, 17:00–21:30; sábado: 8:00–13:30, 17:00–21:30; domingo: 8:00–13:30, 17:00–21:30",@supermercadocceres9,,,2,,Google Places API,2026-05-29
Alternativa Natural,Tienda Holística / Sahumerios,"Marighetti 210, P3600 Formosa, Argentina",Formosa,Formosa,,https://www.instagram.com/alternativa_naturall?igsh=MWN3eTNrOXgzb3o0aA==,https://maps.google.com/?cid=4308210044164178404,,,,lunes: 9:00–0:30; martes: 9:00–0:30; miércoles: 9:00–0:30; jueves: 5:00–0:30; viernes: 9:00–0:30; sábado: 9:00–0:30; domingo: Cerrado,@alternativanatural,,,3,,Google Places API,2026-05-29
SyM Almacén Saludable,Tienda Holística / Sahumerios,"Santa Rosa de Lima s/n Mz 5, P3526 Gral. Mansilla, Formosa, Argentina",General Mansilla,Formosa,0370 468-0024,,https://maps.google.com/?cid=14230614768597475172,,,,"lunes: 8:30–12:30, 17:00–20:00; martes: 8:30–12:30, 17:00–20:00; miércoles: 8:30–12:30, 17:00–20:00; jueves: 8:30–12:30, 17:00–20:00; viernes: 8:30–12:30, 17:00–20:00; sábado: 9:30–13:00, 17:00–20:00; domingo: Cerrado",@symalmacnsaludable,,03704680024,3,,Google Places API,2026-05-29
Condimentos don Rubén 2,Tienda Holística / Sahumerios,"Senador Emilio Tomas, P3600 Formosa, Argentina",Formosa,Formosa,0370 505-9772,,https://maps.google.com/?cid=9977106640846973555,,,,,@condimentosdonrubn2,,03705059772,3,,Google Places API,2026-05-29
Natudiet,Tienda Holística / Sahumerios,"Padre Patiño 613, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=13045761151308771909,4.7,54,,"lunes: 9:00–13:00, 16:00–20:00; martes: 9:00–13:00, 16:00–20:00; miércoles: 9:00–13:00, 16:00–20:00; jueves: 9:00–13:00, 16:00–20:00; viernes: 9:00–13:00, 16:00–20:00; sábado: 9:00–13:00, 17:00–20:00; domingo: Cerrado",@natudiet,,,4,,Google Places API,2026-05-29
Almacén saludable -Dietetica,Tienda Holística / Sahumerios,"Junín 606, P3600LEG Formosa, Argentina",Formosa,Formosa,0370 15-438-4959,,https://maps.google.com/?cid=6471483514907280859,5,3,,,@almacnsaludablediete,,0370154384959,5,,Google Places API,2026-05-29
Miel Duré (Productos Naturales ),Tienda Holística / Sahumerios,"Juan José Silva 5456, P3600KYB Formosa, Argentina",Formosa,Formosa,0370 441-4580,,https://maps.google.com/?cid=4144303521092217378,4.9,9,,lunes: 8:00–20:00; martes: 8:00–20:00; miércoles: 8:00–20:00; jueves: 8:00–20:00; viernes: 8:00–20:00; sábado: 8:00–12:00; domingo: Cerrado,@mieldurproductosnatu,,03704414580,5,,Google Places API,2026-05-29
Alimentos Nutritivos de Formosa,Tienda Holística / Sahumerios,"P3600 Formosa, Argentina",Formosa,Formosa,0370 409-1677,https://www.nutriforalimentos.com/,https://maps.google.com/?cid=2905304179776401797,4.1,112,,"lunes: 8:00–13:00, 17:00–20:00; martes: 8:00–13:00, 17:00–20:00; miércoles: 8:00–13:00, 17:00–20:00; jueves: 8:00–13:00, 17:00–20:00; viernes: 8:00–13:00, 17:00–20:00; sábado: 8:00–13:00, 17:00–20:00; domingo: Cerrado",@alimentosnutritivosd,,03704091677,8,,Google Places API,2026-05-29
Matería Formosa,Tienda Holística / Sahumerios,"José María Uriburu 745, P3600 Formosa, Argentina",Formosa,Formosa,011 15-6995-4545,,https://maps.google.com/?cid=14872731056593150890,5,2,,lunes: 10:00–20:00; martes: 10:00–20:00; miércoles: 10:00–20:00; jueves: 10:00–20:00; viernes: 10:00–20:00; sábado: 10:00–20:00; domingo: Cerrado,@materaformosa,,0111569954545,5,,Google Places API,2026-05-29
Productos Naturales Molino Dorado S.R.L,Tienda Holística / Sahumerios,"Av. Gendarmería Nacional, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=16266186287647795474,3.4,5,,,@productosnaturalesmo,,,1,,Google Places API,2026-05-29
COCINARTE FSA,Tienda Holística / Sahumerios,"Corrientes 347, P3600 Formosa, Argentina",Formosa,Formosa,0370 421-4025,,https://maps.google.com/?cid=13046463783054570465,4.6,25,,"lunes: 8:00–13:30, 17:00–20:00; martes: 8:00–13:30, 17:00–20:00; miércoles: 8:00–13:30, 17:00–20:00; jueves: 8:00–13:30, 17:00–20:00; viernes: 8:00–13:30, 17:00–20:00; sábado: Cerrado; domingo: Cerrado",@cocinartefsa,,03704214025,6,,Google Places API,2026-05-29
Simple & Co Fresh Market Formosa,Tienda Holística / Sahumerios,"Belgrano 711, P3600 Formosa, Argentina",Formosa,Formosa,0370 484-4980,,https://maps.google.com/?cid=9017231678856367205,5,1,,"lunes: 9:00–13:00, 16:30–20:30; martes: 9:00–13:00, 16:30–20:30; miércoles: 9:00–13:00, 16:30–20:30; jueves: 9:00–13:00, 16:30–20:30; viernes: 9:00–13:00, 16:30–20:30; sábado: 9:00–13:00, 16:30–20:30; domingo: Cerrado",@simplecofreshmarketf,,03704844980,5,,Google Places API,2026-05-29
Reino Productos Naturales - Grupo Eros,Tienda Holística / Sahumerios,"Corrientes 486, Código postal 3600, P3600 Formosa, Argentina",Formosa,Formosa,0370 441-3574,http://www.erossrl.com.ar/,https://maps.google.com/?cid=11388859141764294206,4.5,8,,lunes: 9:00–13:00; martes: 9:00–13:00; miércoles: 9:00–13:00; jueves: 9:00–13:00; viernes: 9:00–13:00; sábado: Cerrado; domingo: Cerrado,@reinoproductosnatura,,03704413574,7,,Google Places API,2026-05-29
DIVINA NIÑA TIENDA NATURAL Y ANEXOS,Tienda Holística / Sahumerios,"Obispo Pacifico Scozzina 1550, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=147803538874277867,5,1,,,@divinaniatiendanatur,,,3,,Google Places API,2026-05-29
Frutería Y Verdulería XIOMI,Tienda Holística / Sahumerios,"Mitre 519, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=12247854312683492069,4.8,21,,"lunes: 8:00–13:30, 17:00–21:00; martes: 8:00–13:30, 17:00–21:00; miércoles: 8:00–13:30, 17:00–21:00; jueves: 8:00–13:30, 17:00–21:00; viernes: 8:00–13:30, 17:00–21:00; sábado: 8:00–14:30; domingo: Cerrado",@fruterayverduleraxio,,,4,,Google Places API,2026-05-29
Mercado Frutihortícola,Tienda Holística / Sahumerios,"Paseo de las Americas 2399, P3600 Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=11206130185105879027,4,1171,,lunes: 4:00–13:00; martes: 4:00–13:00; miércoles: 4:00–13:00; jueves: 4:00–13:00; viernes: 4:00–13:00; sábado: 4:00–13:00; domingo: Cerrado,@mercadofrutihortcola,,,4,,Google Places API,2026-05-29
Almacén de congelados,Tienda Holística / Sahumerios,"Av. Nicolás Avellaneda 1185, P3600EAE Formosa, Argentina",Formosa,Formosa,,,https://maps.google.com/?cid=7229775554584163286,5,13,,,@almacndecongelados,,,3,,Google Places API,2026-05-29
North Nutrition,Tienda Holística / Sahumerios,"P3600NPQ, 9 de Julio 588, P3600NPQ Formosa, Argentina",Formosa,Formosa,0370 465-7305,https://www.northnutrition.com.ar/,https://maps.google.com/?cid=14709761120072399822,4.7,16,,"lunes: 10:00–12:30, 17:00–20:00; martes: 10:00–12:30, 17:00–20:00; miércoles: 10:00–12:30, 17:00–20:00; jueves: 10:00–12:30, 17:00–20:00; viernes: 10:00–12:30, 17:00–20:00; sábado: 10:30–12:30; domingo: Cerrado",@northnutrition,,03704657305,7,,Google Places API,2026-05-29
Rústico Formosa,Tienda Holística / Sahumerios,"3600, P3600 Formosa, Argentina",Formosa,Formosa,,https://www.facebook.com/tomas.escobar.94801116,https://maps.google.com/?cid=2085890215809371883,4.5,12,,lunes: Abierto 24 horas; martes: Abierto 24 horas; miércoles: Abierto 24 horas; jueves: Abierto 24 horas; viernes: Abierto 24 horas; sábado: Abierto 24 horas; domingo: Cerrado,@rsticoformosa,,,5,,Google Places API,2026-05-29
