empresa,rubro,direccion,ciudad,provincia,telefono,website,google_maps_url,rating,reviews_count,price_level,horarios,instagram,email,whatsapp,score_ia,observaciones,fuente,fecha_extraccion
MB Minerales,Cristales / Minerales,"Pres. José Evaristo Uriburu 346, C1027AAH, C1027 AAH, Cdad. Autónoma de Buenos Aires, Argentina",AAH,Ciudad Autónoma de Buenos Aires,011 4951-4157,,https://maps.google.com/?cid=6933501912830138024,3.4,28,,lunes: 11:00–17:00; martes: 11:00–17:00; miércoles: 11:00–17:00; jueves: 11:00–17:00; viernes: 11:00–17:00; sábado: Cerrado; domingo: Cerrado,@mbminerales,,01149514157,4,,Google Places API,2026-05-29
Sipiedras,Cristales / Minerales,"Sarmiento 2169, C1046 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 3291-8585,http://www.sipiedras.com.ar/,https://maps.google.com/?cid=17292480490834509252,4.9,149,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: 9:00–13:00; domingo: Cerrado,@sipiedras,,01132918585,8,,Google Places API,2026-05-29
Salomé Gemas y Minerales,Cristales / Minerales,"Uruguay 671, C1015 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 15-5948-1368,https://www.salome.com.ar/,https://maps.google.com/?cid=14541066549743833141,4.6,18,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: 10:00–14:00; domingo: Cerrado,@salomgemasyminerales,,0111559481368,7,,Google Places API,2026-05-29
Ámbar Accesorios. Piedras naturales,Cristales / Minerales,"Concepción Arenal 3470 Showroom. Piso 3 depto 1, C1427 ciudad autónoma de bsas, Cdad. Autónoma de Buenos Aires, Argentina",ciudad autónoma de bsas,Ciudad Autónoma de Buenos Aires,,http://www.ambaraccesorios.com.ar/,https://maps.google.com/?cid=1755524838374158334,5,141,,lunes: 11:00–18:00; martes: 11:00–18:00; miércoles: 11:00–18:00; jueves: 11:00–18:00; viernes: 11:00–18:00; sábado: 10:00–15:00; domingo: Cerrado,@mbaraccesoriospiedra,,,6,,Google Places API,2026-05-29
Turamaly Piedras,Cristales / Minerales,"Pueyrredón 1484 Local 3, B1828 Banfield, Provincia de Buenos Aires, Argentina",Banfield,Provincia de Buenos Aires,011 6549-4804,https://turamaly-piedras.callbell.shop/,https://maps.google.com/?cid=2963169472492044992,4.6,54,,lunes: 11:00–20:00; martes: 11:00–20:00; miércoles: 11:00–20:00; jueves: 11:00–20:00; viernes: 11:00–20:00; sábado: 11:00–20:00; domingo: Cerrado,@turamalypiedras,,01165494804,8,,Google Places API,2026-05-29
Mundo Piedras y más,Cristales / Minerales,"AES, C. 45 1129, B1900 La Plata, Provincia de Buenos Aires, Argentina",La Plata,Provincia de Buenos Aires,0221 554-5194,https://www.mundopiedrasymas.es/,https://maps.google.com/?cid=8182266679748628619,4.8,92,,lunes: 10:00–19:00; martes: 10:00–19:00; miércoles: 10:00–19:00; jueves: 10:00–19:00; viernes: 10:00–19:00; sábado: 10:00–19:00; domingo: Cerrado,@mundopiedrasyms,,02215545194,8,,Google Places API,2026-05-29
Turmalina piedras,Cristales / Minerales,"Lavalle 820, C1047AAR, C1047 AAR, Cdad. Autónoma de Buenos Aires, Argentina",AAR,Ciudad Autónoma de Buenos Aires,011 4410-6515,,https://maps.google.com/?cid=3329947782461891121,3.6,17,,lunes: 10:00–21:00; martes: 10:00–21:00; miércoles: 10:00–21:00; jueves: 10:00–21:00; viernes: 10:00–21:00; sábado: 10:00–21:00; domingo: 14:00–21:00,@turmalinapiedras,,01144106515,3,,Google Places API,2026-05-29
Ixtlan Minerales,Cristales / Minerales,"C. Dr. Juan Felipe Aranguren 5022, C1407 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 15-6587-2972,https://www.mercadolibre.com.ar/pagina/ixtlanminerales,https://maps.google.com/?cid=14785271788673274110,4.9,17,,lunes: 9:00–14:00; martes: 9:00–14:00; miércoles: 9:00–14:00; jueves: 9:00–14:00; viernes: 9:00–14:00; sábado: Cerrado; domingo: Cerrado,@ixtlanminerales,,0111565872972,7,,Google Places API,2026-05-29
Reino Mineral Gems,Cristales / Minerales,"Av. San Martín 834, S2000 Rosario, Santa Fe, Argentina",Rosario,Santa Fe,0341 447-3179,https://www.gurugo.com.ar/fichas/reino-mineral-gems_16913782,https://maps.google.com/?cid=16912082909136314713,4.7,80,,lunes: 11:00–18:30; martes: 11:00–18:30; miércoles: 11:00–18:30; jueves: 11:00–18:30; viernes: 11:00–18:30; sábado: 11:30–14:30; domingo: Cerrado,@reinomineralgems,,03414473179,8,,Google Places API,2026-05-29
DivinaSalud,Cristales / Minerales,"Av. Olazábal 5075, C1431CGG Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 15-2613-0172,http://www.divinasalud.com.ar/,https://maps.google.com/?cid=14980377198336689639,4.5,261,,lunes: 10:00–19:30; martes: 10:00–19:30; miércoles: 10:00–19:30; jueves: 10:00–19:30; viernes: 10:00–19:30; sábado: 10:00–19:30; domingo: Cerrado,@divinasalud,,0111526130172,8,,Google Places API,2026-05-29
Gruta Minerales,Cristales / Minerales,"C1407exf, Dr. Luis Beláustegui 3527, C1407EXE Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4567-0208,http://www.gruta.com.ar/,https://maps.google.com/?cid=6660609278850054456,4.6,17,,,@grutaminerales,,01145670208,7,,Google Places API,2026-05-29
Ser Mineral,Cristales / Minerales,"Estomba 4008, C1430 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 2378-1736,http://sermineral.com.ar/,https://maps.google.com/?cid=5474543177463397706,4.8,33,,lunes: 9:00–17:00; martes: 9:00–17:00; miércoles: 9:00–17:00; jueves: 9:00–17:00; viernes: 9:00–17:00; sábado: Cerrado; domingo: Cerrado,@sermineral,,01123781736,8,,Google Places API,2026-05-29
"Amatista, almacén de cristales",Cristales / Minerales,"Chiozza 2342 local 4, B7111 San Bernardo del Tuyú, Provincia de Buenos Aires, Argentina",San Bernardo del Tuyú,Provincia de Buenos Aires,,,https://maps.google.com/?cid=14714496799073562458,5,7,,lunes: Cerrado; martes: 16:30–20:00; miércoles: Cerrado; jueves: 11:00–20:00; viernes: 11:00–20:30; sábado: 11:00–21:00; domingo: 16:00–20:00,@amatistaalmacndecris,,,3,,Google Places API,2026-05-29
Cristales De La Nueva Era,Cristales / Minerales,"Av. Mengelle 445, R8324 Cipolletti, Río Negro, Argentina",Cipolletti,Río Negro,0299 415-9721,https://www.instagram.com/cristales_de_la_nueva_era?igsh=dzJpdGd1MnBjYmdk,https://maps.google.com/?cid=3952145386561780178,5,7,,lunes: 16:30–20:30; martes: 16:30–20:30; miércoles: 16:30–20:30; jueves: 16:30–20:30; viernes: 16:30–20:30; sábado: 9:30–13:30; domingo: Cerrado,@cristalesdelanuevaer,,02994159721,7,,Google Places API,2026-05-29
"Equilibrio, gemas y piedras",Cristales / Minerales,"Clpn Blas de Peralta 4088, X5008 Córdoba, Argentina",Córdoba,Córdoba,0351 208-8413,,https://maps.google.com/?cid=7311992923423317075,4.3,4,,"lunes: 10:00–14:00, 17:00–20:00; martes: 10:00–14:00, 17:00–20:00; miércoles: 10:00–14:00, 17:00–20:00; jueves: 10:00–14:00, 17:00–20:00; viernes: 10:00–14:00, 17:00–20:00; sábado: 10:00–14:00; domingo: Cerrado",@equilibriogemasypied,,03512088413,5,,Google Places API,2026-05-29
Katrina Joyas En Piedras Semipreciosas Y Cristales,Cristales / Minerales,"Franklin 2615, C1742 Moreno, Provincia de Buenos Aires, Argentina",Moreno,Provincia de Buenos Aires,011 2320-0513,,https://maps.google.com/?cid=16520118890511303002,5,2,,lunes: Abierto 24 horas; martes: Abierto 24 horas; miércoles: Abierto 24 horas; jueves: Abierto 24 horas; viernes: Abierto 24 horas; sábado: Abierto 24 horas; domingo: Cerrado,@katrinajoyasenpiedra,,01123200513,5,,Google Places API,2026-05-29
La Casa de los Cristales,Cristales / Minerales,"Parque Industrial de Olavarría, calle 102 nro 6300 Sector 2, B7400 Olavarría, Provincia de Buenos Aires, Argentina",Olavarría,Provincia de Buenos Aires,02284 15-63-1305,http://www.lacasadeloscristales.com/,https://maps.google.com/?cid=8698217735407565747,4.6,87,,lunes: 7:30–16:30; martes: 7:30–16:30; miércoles: 7:30–16:30; jueves: 7:30–16:30; viernes: 7:30–16:30; sábado: Cerrado; domingo: Cerrado,@lacasadeloscristales,,0228415631305,8,,Google Places API,2026-05-29
Larimar Piedras Semipreciosas,Cristales / Minerales,"Paraguay 3082, C1425 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 7716-5511,https://larimarpiedras.mercadoshops.com.ar/,https://maps.google.com/?cid=16469122747718791130,3.5,2,,"lunes: 10:00–14:00, 15:30–19:00; martes: 10:00–14:00, 15:30–19:00; miércoles: 10:00–14:00, 15:30–19:00; jueves: 10:00–14:00, 15:30–19:00; viernes: 10:00–14:00, 15:30–19:00; sábado: 9:00–14:00; domingo: Cerrado",@larimarpiedrassemipr,,01177165511,5,,Google Places API,2026-05-29
Tesoros de La Naturaleza,Cristales / Minerales,"Mendoza 1578 Local 11 Ingeniero Maschwitz, B1623CSD Belén de Escobar, Provincia de Buenos Aires, Argentina",Belén de Escobar,Provincia de Buenos Aires,011 15-2358-2888,https://tesorosdelanaturaleza.net/,https://maps.google.com/?cid=2614950236999694343,4.9,11,,lunes: Cerrado; martes: Cerrado; miércoles: 11:00–19:00; jueves: 11:00–19:00; viernes: 11:00–19:00; sábado: 11:00–19:00; domingo: 11:00–19:00,@tesorosdelanaturalez,,0111523582888,7,,Google Places API,2026-05-29
Cristales La Argentina,Cristales / Minerales,"French 2961, C1425AWI Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 3655-6005,,https://maps.google.com/?cid=16299623718245492148,4.2,19,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: Cerrado; domingo: Cerrado,@cristaleslaargentina,,01136556005,5,,Google Places API,2026-05-29
Casa de Piedras Energeticas,Cristales / Minerales,"casa de piedras nemamiah, Patricias Mendocinas 534, M5500 Mendoza, Argentina",,Mendoza,0261 417-2550,,https://maps.google.com/?cid=8473145798440050756,4.7,67,,lunes: 9:00–16:00; martes: 9:00–17:00; miércoles: 9:00–17:00; jueves: 9:00–17:00; viernes: 9:00–17:00; sábado: Cerrado; domingo: Cerrado,@casadepiedrasenerget,,02614172550,6,,Google Places API,2026-05-29
RODOCROSITA JOYAS - GEMAS NATURALES,Cristales / Minerales,"Armenia 2150, C1425 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 15-6662-1819,https://rodocrositajoyas.mitiendanube.com/,https://maps.google.com/?cid=8790021275296190473,4.7,26,,lunes: 13:00–19:00; martes: 13:00–19:00; miércoles: 13:00–18:00; jueves: 13:00–19:00; viernes: 13:00–19:00; sábado: 11:00–16:00; domingo: Cerrado,@rodocrositajoyasgema,,0111566621819,8,,Google Places API,2026-05-29
La Botica Milagrosa Corrientes 2240,Cristales / Minerales,"Av. Corrientes 2240, C1046AAN Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4953-0853,http://www.laboticamilagrosa.com.ar/,https://maps.google.com/?cid=772799162718147933,4.6,817,,lunes: 9:00–19:00; martes: 9:00–19:00; miércoles: 9:00–19:00; jueves: 9:00–19:00; viernes: 9:00–19:00; sábado: 9:00–18:00; domingo: Cerrado,@laboticamilagrosacor,,01149530853,8,,Google Places API,2026-05-29
Todo.Minerales,Cristales / Minerales,"Junín 308, C1026 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 3382-0933,,https://maps.google.com/?cid=4865830974380864788,4.9,22,,lunes: 10:00–18:00; martes: 10:00–18:00; miércoles: 10:00–18:00; jueves: 10:00–18:00; viernes: 10:00–18:00; sábado: 10:00–13:00; domingo: Cerrado,@todominerales,,01133820933,6,,Google Places API,2026-05-29
CRISTAL SAN MARTIN,Cristales / Minerales,"La Crujía 3185, B1651 Villa San Andrés, Provincia de Buenos Aires, Argentina",Villa San Andrés,Provincia de Buenos Aires,011 3286-2760,http://cristalsm.com.ar/,https://maps.google.com/?cid=5167742325078670007,4.6,71,,lunes: 8:30–17:00; martes: 8:30–17:00; miércoles: 8:30–17:00; jueves: 8:30–17:00; viernes: 8:30–17:00; sábado: Cerrado; domingo: Cerrado,@cristalsanmartin,,01132862760,8,,Google Places API,2026-05-29
Piedras Namaste,Cristales / Minerales,"Saavedra 1955, B6070 Lincoln, Provincia de Buenos Aires, Argentina",Lincoln,Provincia de Buenos Aires,02355 40-5546,http://www.piedrasnamaste.com.ar/,https://maps.google.com/?cid=15695382671641555871,4.9,197,,lunes: Cerrado; martes: Cerrado; miércoles: Cerrado; jueves: Cerrado; viernes: Cerrado; sábado: 16:30–19:30; domingo: Cerrado,@piedrasnamaste,,02355405546,8,,Google Places API,2026-05-29
Bazar Bohemia Cristal Regalos,Cristales / Minerales,"Talcahuano 883, C1013 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4421-8517,http://www.bohemiacristal.com.ar/,https://maps.google.com/?cid=8029250114708880169,4.5,78,,"lunes: 10:30–14:00, 14:30–19:30; martes: 10:30–14:00, 14:30–19:30; miércoles: 10:30–14:00, 14:30–19:30; jueves: 10:30–14:00, 14:30–19:30; viernes: 10:30–14:00, 14:30–19:30; sábado: 10:30–15:30; domingo: Cerrado",@bazarbohemiacristalr,,01144218517,8,,Google Places API,2026-05-29
CRYSTAL ROCK S.A.,Cristales / Minerales,"Av. de Las Palmeras 1452, S2121 Pérez, Santa Fe, Argentina",Pérez,Santa Fe,0341 679-6348,http://www.crystalrock.com.ar/,https://maps.google.com/?cid=16302850732299781823,4.1,26,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: Cerrado; domingo: Cerrado,@crystalrocksa,,03416796348,8,,Google Places API,2026-05-29
Cristal Diseño,Cristales / Minerales,"Paraná 968, C1017AAT Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4813-3221,,https://maps.google.com/?cid=10067625020215231201,4.3,34,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: Cerrado; domingo: Cerrado,@cristaldiseo,,01148133221,6,,Google Places API,2026-05-29
Cristales Córdoba,Cristales / Minerales,"San Jerónimo 443, X5000AGI Córdoba, Argentina",Córdoba,Córdoba,0351 610-5857,,https://maps.google.com/?cid=10671217622765537972,4.2,61,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: Cerrado; domingo: Cerrado,@cristalescrdoba,,03516105857,6,,Google Places API,2026-05-29
Cristaleria San Justo,Cristales / Minerales,"BAS, Pres. Juan Domingo Perón 3927, B1754 San Justo, Provincia de Buenos Aires, Argentina",San Justo,Provincia de Buenos Aires,011 4441-4415,,https://maps.google.com/?cid=13828389773570782653,4.3,39,,,@cristaleriasanjusto,,01144414415,6,,Google Places API,2026-05-29
San Telmo Cristal,Cristales / Minerales,"Estados Unidos 799, C1101AAO Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 2475-4746,http://santelmocristal.com.ar/,https://maps.google.com/?cid=8135592878727620225,3.6,73,,"lunes: 10:00–13:00, 14:00–18:00; martes: 10:00–13:00, 14:00–18:00; miércoles: 10:00–13:00, 14:00–18:00; jueves: 10:00–13:00, 14:00–18:00; viernes: 10:00–13:00, 14:00–18:00; sábado: Cerrado; domingo: Cerrado",@santelmocristal,,01124754746,6,,Google Places API,2026-05-29
Modalux,Cristales / Minerales,"Lavalle 2260, C1051 ABJ, Cdad. Autónoma de Buenos Aires, Argentina",ABJ,Ciudad Autónoma de Buenos Aires,011 4952-1135,http://modalux.com.ar,https://maps.google.com/?cid=1496985398981920502,4.3,76,,lunes: 10:00–17:00; martes: 10:00–17:00; miércoles: 10:00–17:00; jueves: 10:00–17:00; viernes: 10:00–17:00; sábado: Cerrado; domingo: Cerrado,@modalux,,01149521135,8,,Google Places API,2026-05-29
Cristal Hogar,Cristales / Minerales,"Bv. General Roca 420, Centro, X5800CJR Río Cuarto, Córdoba, Argentina",Río Cuarto,Córdoba,0358 401-1240,,https://maps.google.com/?cid=12319558117134653431,4.2,11,,lunes: 9:00–18:30; martes: 9:00–18:30; miércoles: 9:00–18:30; jueves: 9:00–18:30; viernes: 9:00–18:30; sábado: 9:00–13:00; domingo: Cerrado,@cristalhogar,,03584011240,5,,Google Places API,2026-05-29
Cristales Ebenor,Cristales / Minerales,"Oliden 2380, C1440 CQV, Cdad. Autónoma de Buenos Aires, Argentina",CQV,Ciudad Autónoma de Buenos Aires,011 3301-2236,http://www.ebenor.com/,https://maps.google.com/?cid=7160640730733181532,4.4,417,,"lunes: 8:00–13:00, 13:30–17:30; martes: 8:00–13:00, 13:30–17:30; miércoles: 8:00–13:00, 13:30–17:30; jueves: 8:00–13:00, 13:30–17:30; viernes: 8:00–13:00, 13:30–17:30; sábado: Cerrado; domingo: Cerrado",@cristalesebenor,,01133012236,8,,Google Places API,2026-05-29
Casa Segat S.A.,Cristales / Minerales,"Chile 2560, C1227 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4942-4431,http://www.casasegat.com.ar/,https://maps.google.com/?cid=353828808289526185,4.4,52,,"lunes: 8:00–13:00, 14:00–18:00; martes: 8:00–13:00, 14:00–18:00; miércoles: 8:00–13:00, 14:00–18:00; jueves: 8:00–13:00, 14:00–18:00; viernes: 8:00–13:00, 14:00–18:00; sábado: Cerrado; domingo: Cerrado",@casasegatsa,,01149424431,8,,Google Places API,2026-05-29
Vidrieria la Casa del Cristal,Cristales / Minerales,"Alem 147, B7540EQD Coronel Suarez, Provincia de Buenos Aires, Argentina",Coronel Suarez,Provincia de Buenos Aires,02926 49-7610,,https://maps.google.com/?cid=361999809445980970,4.2,29,,"lunes: 9:00–12:00, 15:00–21:30; martes: 9:00–12:00, 15:00–21:30; miércoles: 9:00–12:00, 15:00–21:30; jueves: 9:00–12:00, 15:00–21:30; viernes: 9:00–12:00, 15:00–21:30; sábado: 9:00–12:00; domingo: Cerrado",@vidrierialacasadelcr,,02926497610,6,,Google Places API,2026-05-29
R Cristal Copas y todo lo demás,Cristales / Minerales,"Paso de los Andes 239, M5500 Mendoza, Argentina",,Mendoza,0261 427-0922,http://rcristal.com/,https://maps.google.com/?cid=12138508782923788996,4.5,271,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: 10:00–13:30; domingo: Cerrado,@rcristalcopasytodolo,,02614270922,8,,Google Places API,2026-05-29
Cristal Center,Cristales / Minerales,"México 2241, C1222 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 2068-9282,https://www.cristalcenter.com.ar/,https://maps.google.com/?cid=15335142439841348205,4.9,331,,lunes: 8:00–17:00; martes: 8:00–17:00; miércoles: 8:00–17:00; jueves: 8:00–17:00; viernes: 8:00–17:00; sábado: 8:00–12:00; domingo: Cerrado,@cristalcenter,,01120689282,8,,Google Places API,2026-05-29
Vidriería Acuario Cristal,Cristales / Minerales,"Olleros 2614, C1426CRX Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,Ciudad Autónoma de Buenos Aires,011 4553-6031,,https://maps.google.com/?cid=13259944462577892782,4.2,30,,"lunes: 9:00–12:30, 14:00–19:00; martes: 9:00–12:30, 14:00–19:00; miércoles: 9:00–12:30, 14:00–19:00; jueves: 9:00–12:30, 14:00–19:00; viernes: 9:00–12:30, 14:00–19:00; sábado: 9:00–13:00; domingo: Cerrado",@vidrieraacuariocrist,,01145536031,6,,Google Places API,2026-05-29
ALU CRISTALES PALERMO,Cristales / Minerales,"Aráoz 2403, C1425DGK C1425DGK, Cdad. Autónoma de Buenos Aires, Argentina",C1425DGK,Ciudad Autónoma de Buenos Aires,011 6982-2491,https://www.instagram.com/alucristalespalermo_2585?igsh=a3BxdjV5OHF5OThh,https://maps.google.com/?cid=9300750701811874219,4.1,111,,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: 9:00–13:00; domingo: Cerrado,@alucristalespalermo,,01169822491,8,,Google Places API,2026-05-29
Cryslan Glass Distributor (venta y colocación),Cristales / Minerales,"Dr. Guillermo Gaebeler 1720, B1822 Lanús, Provincia de Buenos Aires, Argentina",Lanús,Provincia de Buenos Aires,011 4249-0533,http://www.cryslan.com.ar/,https://maps.google.com/?cid=12516479791532528712,4.6,43,,"lunes: 8:00–13:00, 14:00–17:30; martes: 8:00–13:00, 14:00–17:30; miércoles: 8:00–13:00, 14:00–17:30; jueves: 8:00–13:00, 14:00–17:30; viernes: 8:00–13:00, 14:00–17:30; sábado: Cerrado; domingo: Cerrado",@cryslanglassdistribu,,01142490533,8,,Google Places API,2026-05-29
